Centroid X	Centroid Y	Database ID	Image Name	Intensity Variance SOX17	Intensity Variance SOX2	Intensity Variance TBXT	Intensity Variance LMBR	Is Border	Kurtosis Intensity SOX17	Kurtosis Intensity SOX2	Kurtosis Intensity TBXT	Kurtosis Intensity LMBR	Location X	Location Y	Max Intensity SOX17	Max Intensity SOX2	Max Intensity TBXT	Max Intensity LMBR	Mean Intensity SOX17	Mean Intensity SOX2	Mean Intensity TBXT	Mean Intensity LMBR	Median Intensity SOX17	Median Intensity SOX2	Median Intensity TBXT	Median Intensity LMBR	Min Intensity SOX17	Min Intensity SOX2	Min Intensity TBXT	Min Intensity LMBR	Normalised Coordinate 0	Normalised Coordinate 1	Second Moment 0	Second Moment 1	Sum Intensity SOX17	Sum Intensity SOX2	Sum Intensity TBXT	Sum Intensity LMBR	bounding box maximum X	bounding box maximum Y	bounding box minimum X	bounding box minimum Y	label	volume	
298.94347826086926	13.123320158102782	421	NMP Image Mine.tiff	1599.7384925449064	1248384.3445544555	4033.799276014556	458671.6794309866	false	2.3601956789760226	-0.8456720773817463	-0.46061514988031993	-0.532018577844227	459	20	930.0	4721.0	1018.0	4776.0	739.5711462450593	1929.0	830.0928853754942	2496.472332015812	736.0	1621.0	825.0	2238.0	639.0	667.0	688.0	1672.0	-19.90969174700382	-333.17269205775347	16827.313043478043	13397.661264822113	374223.0	976074.0	420027.0	1263215.0	475	33	447	8	4095.0	213.78500000000003	
381.47037037037	293.5444444444444	422	NMP Image Mine.tiff	2053.0653154253155	482321.0244363044	3197.5102971102983	71216.5617256817	false	6.7314823454055395	-0.9457467563328201	2.325056208110217	0.9052872762132531	586	451	1083.0	3736.0	1328.0	4513.0	797.980056980057	2244.4045584045593	1047.082621082621	3509.082621082621	793.0	2445.0	1043.0	3447.0	706.0	957.0	892.0	3066.0	62.61720036249693	-52.75156777141183	6313.925925926111	7065.3333333335995	280091.0	787786.0	367526.0	1231688.0	598	463	577	441	655.0	148.2975	
390.3437861271678	558.7163294797688	423	NMP Image Mine.tiff	1851.2713747172656	771620.6598307783	2009.6684342799715	81608.1145765268	false	1.8715490178298002	-1.3038023218830268	0.49559260329859045	0.7445114631323775	600	859	990.0	4041.0	1093.0	4233.0	797.7514450867052	2176.6184971098264	951.8352601156068	3109.1820809248547	794.0	2408.0	951.0	3096.0	702.0	791.0	803.0	2464.0	71.49061611929471	212.42031726391252	10482.03713872857	7803.315751445107	276022.0	753110.0	329335.0	1075777.0	615	872	588	848	1113.0	146.185	
567.0651315789478	457.7945723684214	424	NMP Image Mine.tiff	1925.2726137745356	930346.8625586252	940.0898797116555	52033.85060578425	false	3.0972137739975523	-1.1854241853783984	0.8113884749754638	2.3690990387659605	872	704	1007.0	4255.0	1025.0	4298.0	801.4111842105264	2282.7960526315824	894.4046052631579	3296.3453947368425	791.0	2281.0	892.0	3263.0	682.0	846.0	788.0	2824.0	248.2119615710747	111.49856015256518	7800.923684210765	3353.843914473713	243629.0	693970.0	271899.0	1002089.0	886	712	861	697	1273.0	128.44000000000003	
394.2741007194248	269.460071942446	425	NMP Image Mine.tiff	1272.0949536399767	36132.961275744754	6981.3035477754975	12810.566397423587	false	-0.47604064936947266	0.10710903974802344	-0.4972345872471169	0.5182982697217793	606	414	901.0	1917.0	1451.0	3539.0	812.2661870503597	1495.8129496402883	1249.8812949640287	3188.546762589928	813.0	1509.0	1248.0	3186.0	722.0	989.0	1047.0	2778.0	75.4209307115517	-76.83594027341024	2667.5438848922613	8486.848920863342	225810.0	415836.0	347467.0	886416.0	614	430	599	401	1833.0	117.45500000000001	
119.61494252873565	221.9488505747125	426	NMP Image Mine.tiff	1307.0407898614785	169191.71485411157	4720.207456528144	66757.39737695253	false	0.7913023981414193	0.1550668616191233	0.4845491859979867	3.297806519358102	184	341	918.0	2785.0	1271.0	4218.0	794.3180076628353	2027.022988505746	1063.015325670498	3222.8812260536397	792.0	2113.0	1071.0	3173.0	693.0	923.0	845.0	2849.0	-199.23822747913744	-124.34716164114374	3879.110344827598	3406.5379310345575	207317.0	529053.0	277447.0	841172.0	193	350	175	332	1389.0	110.27250000000001	
170.9245098039216	149.7294117647059	427	NMP Image Mine.tiff	1259.759732655341	52610.78029199889	2229.295211679955	18117.420397549973	false	0.49183382137722864	0.44428510858911796	0.17505146205307032	0.35693844428379684	262	230	907.0	2190.0	1141.0	3426.0	786.413725490196	1721.074509803921	970.6549019607844	2963.005882352941	788.0	1732.0	971.0	2961.0	670.0	897.0	847.0	2607.0	-147.92866020395147	-196.56660045115035	9507.69019607846	21737.60588235285	401071.0	877748.0	495034.0	1511133.0	272	247	247	214	4105.0	215.47500000000002	
155.27777777777777	416.72673611111105	428	NMP Image Mine.tiff	1507.600621600622	327183.5353535354	2196.866695804196	21195.984265734267	false	-0.050196166260682684	-0.31866556904108245	0.14417673132546094	0.10305830786513859	238	641	874.0	4509.0	996.0	3273.0	762.7222222222222	3585.055555555556	850.1875	2963.125	760.0	3733.0	846.0	2987.0	680.0	1855.0	761.0	2465.0	-163.5753922300953	70.4307238952548	960.8444444444456	1312.3454861111898	109832.0	516248.0	122427.0	426690.0	245	650	231	634	3615.0	60.84	
331.87638888888887	311.12083333333356	429	NMP Image Mine.tiff	1324.8969234429628	2155745.4810117306	4000.1279443254775	654276.3461767236	false	0.6641094447336302	0.8668671248791786	0.2222080683534866	-0.5038724598913649	510	478	905.0	7223.0	1292.0	6498.0	766.482905982906	2891.7136752136694	1081.0833333333335	4065.831196581194	766.0	2501.0	1080.0	4057.0	656.0	959.0	878.0	2708.0	13.023218881015794	-35.17517888252269	10947.348611111049	14118.53749999987	358714.0	1353322.0	505947.0	1902809.0	521	493	498	464	66.0	197.73000000000002	
250.69241935483873	386.51935483870955	430	NMP Image Mine.tiff	1033.1349410168057	623454.8339597038	2791.1432195427506	36740.43119323519	false	-0.24950562572455492	-0.2728796204654871	0.22680444702877312	-0.40383646891551006	385	594	828.0	4331.0	1164.0	3458.0	742.8967741935484	2983.2741935483878	977.158064516129	2955.2709677419357	742.0	3131.0	972.0	2922.0	662.0	973.0	833.0	2539.0	-68.16075065303434	40.223342622853295	3093.5995161290207	8728.829032258376	230298.0	924815.0	302919.0	916134.0	394	606	378	581	2365.0	130.97500000000002	
